Player,Team,Role,Cost,Match_points
MS Dhoni,CSK,WK,9,"[20, 47, 41, 71, 12, 54, 32, 29, 7, 50, 24, 26, 5, 12]"
Watson,CSK,BAT,9.5,"[17, 46, 21, 5, 112, 78, 21, 53, 46, 14, 21]"
Rayudu,CSK,BAT,8.5,"[95, 19, 12, 37, 50, 52, 66, 17, 6, 50, 57, 36]"
Du Plesis,CSK,BAT,9,"[100, 107, 51, 38, 112, 40, 20, 2, 96, 15, 5, 51, 60]"
Vijay,CSK,BAT,7.5,"[5, 28, 13]"
Jadeja,CSK,ALL,9.5,"[62, 3, 13, 71, 37, 44, 18, 75, 45, 43, 12, 4, 76, 31]"
Sam Curran,CSK,ALL,8.5,"[68, 101, 30, 25, 8, 74, 21, 77, 35, 29, 72, 79, 26, 4]"
Piyush Chawla,CSK,BALL,7.5,"[31, 23, 54, 29, 25, 4, 0]"
Deepak Chahar,CSK,BALL,9,"[54, 45, 2, 54, 6, -2, 40, 6, 74, 66, 4, 54, 0, 2]"
Ngidi,CSK,BALL,8,"[77, 23, 54, 77]"
Jadhav,CSK,BAT,8.5,"[4, 43, 33, 1, 4, 8, 4, 8]"
Rituraj Gaikwad,CSK,BAT,8,"[8, 2, 2, 103, 102, 90]"
Josh Hazlewood,CSK,BALL,9,"[4, 33, 4]"
Shardul Thakur,CSK,BALL,9,"[29, 52, 62, 53, 39, 27, 4, 9, 29]"
DJ Bravo,CSK,ALL,9.5,"[4, 2, 77, 9, 72, 29]"
Karn Sharma,CSK,BALL,8,"[54, 4, 52, -2, 29]"
Jagadeesan,CSK,WK,7.5,"[41, 2, 4, 4, 4]"
Mitchell Santner,CSK,ALL,8.5,"[39, 27]"
Sunil Narine,KKR,ALL,9,"[48, 2, 54, 1, 49, 54, 88, 11, 23, 0]"
Shubman Gill,KKR,BAT,9,"[10, 91, 66, 44, 24, 82, 43, 27, 61, 5, 23, 80, 34, 46]"
Nitish Rana,KKR,BAT,9,"[32, 36, 30, 82, 14, 14, 12, 10, 46, 2, 108, 2, 117, 2]"
Eoin Morgan,KKR,BAT,8,"[29, 53, 43, 67, 18, 32, 11, 49, 43, 39, 33, 53, 21, 97]"
Dinesh Karthik,KKR,WK,9,"[39, 8, 21, 10, 25, 82, 5, 17, 39, 10, 7, 2, 28, 34]"
Andre Russell,KKR,ALL,10,"[42, 37, 34, 70, 29, 10, 43, 19, 16, 36]"
Kamlesh Nagarkoti,KKR,BALL,9,"[4, 79, 26, 29, -2, 6, 14, 10, -2, 40]"
Nikhil Naik,KKR,BAT,7,[13]
Pat Cummins,KKR,BALL,8.5,"[56, 39, 46, 4, 24, 9, 3, 72, 29, 22, 83, 5, 54, 137]"
Kuldeep Yadav,KKR,BALL,9,"[3, 4, 29, 6, 17]"
Sandeep Warrier,KKR,BALL,7,[2]
Varun Chakravarthy,KKR,BALL,8.5,"[37, 62, 31, 30, 4, 11, 31, 29, 4, 147, 31, 56, 56]"
Shivam Mavi,KKR,BALL,8.5,"[72, 4, 64, 7, 25, 29, 23, 84]"
R Tripathi,KKR,BAT,9,"[49, 107, 3, 21, 12, 31, 5, 42, 13, 7, 51]"
Tom Banton,KKR,BAT,7.5,"[10, 17]"
Prasidh Krishna,KKR,BALL,8,"[79, 27, -2, 4, 2, 12]"
Lockie Ferguson,KKR,BALL,8,"[85, 53, 29, 58, -2]"
