Player,Team,Role,Cost,Match_points
MS Dhoni,CSK,WK,9,"[20, 47, 41, 71, 12, 54, 32, 29, 7, 50, 24, 26, 5, 12]"
Watson,CSK,BAT,9.5,"[17, 46, 21, 5, 112, 78, 21, 53, 46, 14, 21]"
Rayudu,CSK,BAT,8.5,"[95, 19, 12, 37, 50, 52, 66, 17, 6, 50, 57, 36]"
Du Plesis,CSK,BAT,9,"[100, 107, 51, 38, 112, 40, 20, 2, 96, 15, 5, 51, 60]"
Vijay,CSK,BAT,7.5,"[5, 28, 13]"
Jadeja,CSK,ALL,9.5,"[62, 3, 13, 71, 37, 44, 18, 75, 45, 43, 12, 4, 76, 31]"
Sam Curran,CSK,ALL,8.5,"[68, 101, 30, 25, 8, 74, 21, 77, 35, 29, 72, 79, 26, 4]"
Piyush Chawla,CSK,BALL,7.5,"[31, 23, 54, 29, 25, 4, 0]"
Deepak Chahar,CSK,BALL,9,"[54, 45, 2, 54, 6, -2, 40, 6, 74, 66, 4, 54, 0, 2]"
Ngidi,CSK,BALL,8,"[77, 23, 54, 77]"
Jadhav,CSK,BAT,8.5,"[4, 43, 33, 1, 4, 8, 4, 8]"
Rituraj Gaikwad,CSK,BAT,8,"[8, 2, 2, 103, 102, 90]"
Josh Hazlewood,CSK,BALL,9,"[4, 33, 4]"
Shardul Thakur,CSK,BALL,9,"[29, 52, 62, 53, 39, 27, 4, 9, 29]"
DJ Bravo,CSK,ALL,9.5,"[4, 2, 77, 9, 72, 29]"
Karn Sharma,CSK,BALL,8,"[54, 4, 52, -2, 29]"
Jagadeesan,CSK,WK,7.5,"[41, 2, 4, 4, 4]"
Mitchell Santner,CSK,ALL,8.5,"[39, 27]"
KL Rahul,KXIP,WK,10,"[49, 180, 98, 22, 84, 13, 92, 100, 102, 30, 51, 52, 57, 46]"
Mayank Agarwal,KXIP,BAT,9.5,"[124, 42, 158, 32, 33, 14, 76, 59, 24, 25, 35]"
Chris Gayle,KXIP,BAT,9.5,"[76, 33, 40, 28, 83, 133, 14]"
Karun Nair,KXIP,BAT,8.5,"[5, 22, 4, 10]"
Pooran,KXIP,BAT,9,"[8, 36, 44, 55, 44, 116, 36, 20, 42, 77, 46, 14, 40, 6]"
Maxwell,KXIP,ALL,9,"[5, 21, 17, 13, 16, 17, 24, 4, 4, 72, 16, 25, 11]"
Deepak Hooda,KXIP,BAT,8.5,"[12, 38, 18, 2, 4, 13, 85]"
Sarfaraz Khan,KXIP,BAT,9,"[18, 12, 12, 12, 20]"
Mandeep Singh,KXIP,BAT,8.5,"[35, 10, 8, 30, 90, 2, 19]"
K.Gowtham,KXIP,ALL,8,"[31, 49]"
Jordan,KXIP,BALL,9,"[19, -2, 2, 37, 40, 106, 54, 23, 29]"
H Brar,KXIP,BALL,7.5,[0]
Mohammed Shami,KXIP,BALL,9.5,"[93, 33, 81, 41, 2, 27, 35, 48, 54, 54, 29, 79, -2, 4]"
Sheldon Cottrell,KXIP,BALL,8.5,"[56, 56, 23, 39, 2, 0]"
Ravi Bishnoi,KXIP,BALL,8.5,"[31, 95, 4, 3, 4, 84, 29, 2, 31, 4, 47, 64, 4, 2]"
James Neesham,KXIP,ALL,8,"[4, 27, 13, 41, 6]"
Murugan Ashwin,KXIP,BALL,9,"[79, 29, 56, 18, 29, 41, 37, 25, 8]"
Prabhsimran Singh,KXIP,WK,7,"[17, 28]"
Arshdeep Singh,KXIP,BALL,8,"[70, 37, 27, 48, 2, 81, 2, -2,]"
Mujeeb Rahman,KXIP,BALL,8,"[3, 0]"
