Player,Team,Role,Cost,Match_points
MS Dhoni,CSK,WK,9,"[20, 47, 41, 71, 12, 54, 32, 29, 7, 50, 24, 26, 5, 12]"
Watson,CSK,BAT,9.5,"[17, 46, 21, 5, 112, 78, 21, 53, 46, 14, 21]"
Rayudu,CSK,BAT,8.5,"[95, 19, 12, 37, 50, 52, 66, 17, 6, 50, 57, 36]"
Du Plesis,CSK,BAT,9,"[100, 107, 51, 38, 112, 40, 20, 2, 96, 15, 5, 51, 60]"
Vijay,CSK,BAT,7.5,"[5, 28, 13]"
Jadeja,CSK,ALL,9.5,"[62, 3, 13, 71, 37, 44, 18, 75, 45, 43, 12, 4, 76, 31]"
Sam Curran,CSK,ALL,8.5,"[68, 101, 30, 25, 8, 74, 21, 77, 35, 29, 72, 79, 26, 4]"
Piyush Chawla,CSK,BALL,7.5,"[31, 23, 54, 29, 25, 4, 0]"
Deepak Chahar,CSK,BALL,9,"[54, 45, 2, 54, 6, -2, 40, 6, 74, 66, 4, 54, 0, 2]"
Ngidi,CSK,BALL,8,"[77, 23, 54, 77]"
Jadhav,CSK,BAT,8.5,"[4, 43, 33, 1, 4, 8, 4, 8]"
Rituraj Gaikwad,CSK,BAT,8,"[8, 2, 2, 103, 102, 90]"
Josh Hazlewood,CSK,BALL,9,"[4, 33, 4]"
Shardul Thakur,CSK,BALL,9,"[29, 52, 62, 53, 39, 27, 4, 9, 29]"
DJ Bravo,CSK,ALL,9.5,"[4, 2, 77, 9, 72, 29]"
Karn Sharma,CSK,BALL,8,"[54, 4, 52, -2, 29]"
Jagadeesan,CSK,WK,7.5,"[41, 2, 4, 4, 4]"
Mitchell Santner,CSK,ALL,8.5,"[39, 27]"
Aaron Finch,RCB,BAT,9,"[38, 35, 73, 22, 18, 6, 57, 28, 30, 22, 22]"
Devdutt Padikkal,RCB,BAT,9.5,"[76, 5, 83, 99, 16, 49, 50, 31, 41, 40, 30, 108, 10, 67]"
Virat Kohli,RCB,BAT,10,"[34, 5, 1, 95, 51, 114, 38, 55, 52, 24, 65, 11, 19, 37]"
de Villiers,RCB,BAT,10,"[71, 46, 87, 17, 23, 10, 108, 12, 88, 20, 47, 22, 43, 44]"
Josh Philippe,RCB,WK,7.5,"[11, 2, 43, 40, 17]"
Shivan Dube,RCB,ALL,8.5,"[63, 64, 38, 4, 17, 30, 4, 31, 6, 41]"
Umesh Yadav,RCB,BALL,9,"[16, -2]"
W Sundar,RCB,BALL,8,"[4, 38, 35, 6, 26, 68, 56, 16, 4, 43, 10, 17, 52, 31]"
N Saini,RCB,BALL,8.5,"[62, 9, 0, 35, 11, 8, 31, 6, 12, 29, 4, 23]"
Steyn,RCB,BALL,9,"[27, -1, 0]"
Chahal,RCB,BALL,9,"[83, 30, 23, 89, 2, 29, 35, 23, 54, 60, 31, 52, 56, 4]"
Chris Morris,RCB,ALL,9.5,"[103, 66, 38, 120, 30, 29, 48, 13, 0]"
Adam Zampa,RCB,BALL,8,"[23, 2]"
Gurkeerat Singh,RCB,ALL,7.5,"[4, 4, 24, 43, 6, 28, 26]"
Isuru Udana,RCB,BALL,8,"[48, 58, 28, 29, 41, 16, -2, 4, 37, 3]"
Mohammed Siraj,RCB,BALL,8.5,"[60, 37, -2, 101, 6, 62, 6, 35]"
Moin Ali,RCB,ALL,9,"[45, 5]"
Shahbaz Ahmed,RCB,ALL,7.5,"[10, 55]"
