Player,Team,Role,Cost,Match_points
MS Dhoni,CSK,WK,9,"[20, 47, 41, 71, 12, 54, 32, 29, 7, 50, 24, 26, 5, 12]"
Watson,CSK,BAT,9.5,"[17, 46, 21, 5, 112, 78, 21, 53, 46, 14, 21]"
Rayudu,CSK,BAT,8.5,"[95, 19, 12, 37, 50, 52, 66, 17, 6, 50, 57, 36]"
Du Plesis,CSK,BAT,9,"[100, 107, 51, 38, 112, 40, 20, 2, 96, 15, 5, 51, 60]"
Vijay,CSK,BAT,7.5,"[5, 28, 13]"
Jadeja,CSK,ALL,9.5,"[62, 3, 13, 71, 37, 44, 18, 75, 45, 43, 12, 4, 76, 31]"
Sam Curran,CSK,ALL,8.5,"[68, 101, 30, 25, 8, 74, 21, 77, 35, 29, 72, 79, 26, 4]"
Piyush Chawla,CSK,BALL,7.5,"[31, 23, 54, 29, 25, 4, 0]"
Deepak Chahar,CSK,BALL,9,"[54, 45, 2, 54, 6, -2, 40, 6, 74, 66, 4, 54, 0, 2]"
Ngidi,CSK,BALL,8,"[77, 23, 54, 77]"
Jadhav,CSK,BAT,8.5,"[4, 43, 33, 1, 4, 8, 4, 8]"
Rituraj Gaikwad,CSK,BAT,8,"[8, 2, 2, 103, 102, 90]"
Josh Hazlewood,CSK,BALL,9,"[4, 33, 4]"
Shardul Thakur,CSK,BALL,9,"[29, 52, 62, 53, 39, 27, 4, 9, 29]"
DJ Bravo,CSK,ALL,9.5,"[4, 2, 77, 9, 72, 29]"
Karn Sharma,CSK,BALL,8,"[54, 4, 52, -2, 29]"
Jagadeesan,CSK,WK,7.5,"[41, 2, 4, 4, 4]"
Mitchell Santner,CSK,ALL,8.5,"[39, 27]"
Yashasvi Jaiswal,RR,BAT,8,"[11, 2, 63]"
Steve Smith,RR,BAT,9.5,"[93, 73, 7, 10, 11, 40, 9, 5, 77, 32, 25, 18, 40, 17]"
Sanju Samson,RR,WK,9,"[145, 123, 21, 9, 10, 9, 41, 33, 15, 16, 45, 76, 62, 21]"
David Miller,RR,BAT,9,[2]
Robin Uthappa,RR,BAT,8.5,"[9, 9, 6, 22, 25, 49, 62, 8, 27, 19, 39, 20]"
Rahul Tewatia,RR,ALL,8.5,"[88, 79, 45, 34, 18, 98, 65, 27, 59, 41, 6, 4, 20, 114]"
Riyag Parag,RR,ALL,8,"[11, 2, 13, 21, 52, 5, 4, 4, 28, 4, 4, 2]"
Tom Curran,RR,BALL,7.5,"[42, 30, 97, -2, 16]"
Kartik Tyagi,RR,BALL,8,"[27, 31, 27, 45, 29, 29, -2, 23, -2, 54]"
Jofra Archer,RR,BALL,9.5,"[64, 15, 74, 52, 58, 91, 35, 100, 2, 37, 75, 62, 54, 39]"
Shreyas Gopal,RR,BALL,9,"[27, 8, 5, 29, 63, 0, 4, 36, 29, 35, 4, 54, 4, 48]"
Jaydev Unadkat,RR,BALL,9,"[0, 2, 46, 0, 29, 50, -2]"
Jos Buttler,RR,WK,9.5,"[8, 38, 31, 104, 27, 29, 31, 31, 109, 13, 4, 31, 53]"
Ankit Rajpoot,RR,BALL,8.5,"[27, 36, 0, 4, 4, -2]"
Ben Stokes,RR,ALL,9.5,"[10, 45, 29, 24, 38, 163, 132, 28]"
Mahipal Lomror,RR,ALL,7,"[58, 16, 5]"
