Player,Team,Role,Cost,Match_points
MS Dhoni,CSK,WK,9,"[20, 47, 41, 71, 12, 54, 32, 29, 7, 50, 24, 26, 5, 12]"
Watson,CSK,BAT,9.5,"[17, 46, 21, 5, 112, 78, 21, 53, 46, 14, 21]"
Rayudu,CSK,BAT,8.5,"[95, 19, 12, 37, 50, 52, 66, 17, 6, 50, 57, 36]"
Du Plesis,CSK,BAT,9,"[100, 107, 51, 38, 112, 40, 20, 2, 96, 15, 5, 51, 60]"
Vijay,CSK,BAT,7.5,"[5, 28, 13]"
Jadeja,CSK,ALL,9.5,"[62, 3, 13, 71, 37, 44, 18, 75, 45, 43, 12, 4, 76, 31]"
Sam Curran,CSK,ALL,8.5,"[68, 101, 30, 25, 8, 74, 21, 77, 35, 29, 72, 79, 26, 4]"
Piyush Chawla,CSK,BALL,7.5,"[31, 23, 54, 29, 25, 4, 0]"
Deepak Chahar,CSK,BALL,9,"[54, 45, 2, 54, 6, -2, 40, 6, 74, 66, 4, 54, 0, 2]"
Ngidi,CSK,BALL,8,"[77, 23, 54, 77]"
Jadhav,CSK,BAT,8.5,"[4, 43, 33, 1, 4, 8, 4, 8]"
Rituraj Gaikwad,CSK,BAT,8,"[8, 2, 2, 103, 102, 90]"
Josh Hazlewood,CSK,BALL,9,"[4, 33, 4]"
Shardul Thakur,CSK,BALL,9,"[29, 52, 62, 53, 39, 27, 4, 9, 29]"
DJ Bravo,CSK,ALL,9.5,"[4, 2, 77, 9, 72, 29]"
Karn Sharma,CSK,BALL,8,"[54, 4, 52, -2, 29]"
Jagadeesan,CSK,WK,7.5,"[41, 2, 4, 4, 4]"
Mitchell Santner,CSK,ALL,8.5,"[39, 27]"
Warner,SRH,BAT,10,"[11, 52, 56, 43, 81, 85, 59, 19, 56, 17, 62, 106, 22, 117]"
Bairstow,SRH,WK,9.5,"[101, 5, 85, 8, 43, 136, 38, 37, 47, 17, 39]"
Manish Pandey,SRH,BAT,9,"[49, 70, 15, 38, 48, 5, 74, 17, 18, 123, 15, 54, 43, 4]"
Kane Williamson,SRH,BAT,9.5,"[50, 12, 1, 35, 30, 84, 39, 24, 24, 12]"
Vijay Shankar,SRH,ALL,8.5,"[27, 10, 18, 44, 97, 46, 29]"
W Saha,SRH,WK,8,"[45, 115, 49, 99]"
Mitchell Marsh,SRH,ALL,8.5,[2]
Abdul Samad,SRH,ALL,7.5,"[27, 41, 23, 13, 31, 4, 12, 12, 4, 4]"
Priyam Garg,SRH,BAT,8,"[17, 4, 12, 77, 12, 22, 22, 21, 24, 4, 7, 12]"
Abhishek Sharma,SRH,BAT,8,"[37, 6, 5, 41, 14, 44, 4, 22]"
Rashid Khan,SRH,BALL,9.5,"[19, 29, 85, 10, 42, 93, 54, 21, 30, 31, 68, 85, 31, 29]"
Jason Holder,SRH,ALL,8,"[91, 59, 23, 87, 54]"
Bhuvaneshwar Kumar,SRH,BALL,9,"[9, 4, 2, 54, 29]"
Sandeep Sharma,SRH,BALL,8.5,"[12, 50, 4, 4, 59, 4, 4, 54, 54, 56, 79]"
Khaleel Ahmed,SRH,BALL,8.5,"[27, 25, 4, 60, 52, 48, 12]"
Natarajan,SRH,BALL,8.5,"[32, 27, 29, 50, 12, 62, 18, 50, 52, -2, 6, 54, 43, 2]"
Siddharth Kaul,SRH,BALL,8,[48]
Shahbaz Nadeem,SRH,BALL,7.5,"[10, 12, 29, 29, 58]"
Basil Thampi,SRH,BALL,8,[23]
