Player,Team,Role,Cost,Match_points
P.Shaw,DC,BAT,9,"[26, 87, 6, 90, 55, 27, 17, 2, 2, 10, 16, 23]"
Shikhar Dhawan,DC,BAT,8.5,"[2, 44, 42, 44, 47, 18, 89, 79, 145, 144, 11, 2, 2, 72]"
Hetmeyer,DC,BAT,8,"[16, 12, 29, 21, 25, 84, 16, 16, 23, 16]"
Shreyas Iyer,DC,BAT,9.5,"[57, 31, 23, 119, 24, 38, 59, 72, 30, 20, 56, 15, 32, 19]"
Rishabh Pant,DC,WK,9,"[47, 68, 45, 57, 64, 17, 39, 43, 45, 27, 27]"
Marcus Stoinis,DC,ALL,9.5,"[126, 10, 16, 24, 83, 101, 38, 23, 33, 13, 56, 10, 6, 24]"
Axar Patel,DC,ALL,9,"[41, 39, 17, 58, 62, 37, 49, 33, 29, 23, 11, 4]"
Ashwin,DC,BALL,8.5,"[58, -2, 37, 56, 29, 41, 2, 35, 14, 31, 22, 33]"
Rabada,DC,BALL,10,"[62, 87, 82, 23, 114, 87, 62, 29, 37, 54, 72, 1, 16, 54]"
Daniel Sams,DC,ALL,7.5,"[12, 0, 2]"
Nortje,DC,BALL,8,"[7, 56, 13, 87, 56, 29, 4, 54, 58, 54, 28, 25, 79]"
Mohit Sharma,DC,BALL,8,[23]
Amit Mishra,DC,BALL,8.5,"[14, 54, 29]"
Avesh Khan,DC,BALL,7.5,[0]
Ishant Sharma,DC,BALL,8.5,[4]
H Patel,DC,BALL,8.5,"[62, 0, 46, 2]"
Alex Carey,DC,WK,7.5,"[26, 20, 16]"
Rahane,DC,BAT,8.5,"[22, 14, 13, 10, 35, 93]"
Tushar Deshpande,DC,BALL,7.5,"[52, 27, -2, 11, 22]"
MS Dhoni,CSK,WK,9,"[20, 47, 41, 71, 12, 54, 32, 29, 7, 50, 24, 26, 5, 12]"
Watson,CSK,BAT,9.5,"[17, 46, 21, 5, 112, 78, 21, 53, 46, 14, 21]"
Rayudu,CSK,BAT,8.5,"[95, 19, 12, 37, 50, 52, 66, 17, 6, 50, 57, 36]"
Du Plesis,CSK,BAT,9,"[100, 107, 51, 38, 112, 40, 20, 2, 96, 15, 5, 51, 60]"
Vijay,CSK,BAT,7.5,"[5, 28, 13]"
Jadeja,CSK,ALL,9.5,"[62, 3, 13, 71, 37, 44, 18, 75, 45, 43, 12, 4, 76, 31]"
Sam Curran,CSK,ALL,8.5,"[68, 101, 30, 25, 8, 74, 21, 77, 35, 29, 72, 79, 26, 4]"
Piyush Chawla,CSK,BALL,7.5,"[31, 23, 54, 29, 25, 4, 0]"
Deepak Chahar,CSK,BALL,9,"[54, 45, 2, 54, 6, -2, 40, 6, 74, 66, 4, 54, 0, 2]"
Ngidi,CSK,BALL,8,"[77, 23, 54, 77]"
Jadhav,CSK,BAT,8.5,"[4, 43, 33, 1, 4, 8, 4, 8]"
Rituraj Gaikwad,CSK,BAT,8,"[8, 2, 2, 103, 102, 90]"
Josh Hazlewood,CSK,BALL,9,"[4, 33, 4]"
Shardul Thakur,CSK,BALL,9,"[29, 52, 62, 53, 39, 27, 4, 9, 29]"
DJ Bravo,CSK,ALL,9.5,"[4, 2, 77, 9, 72, 29]"
Karn Sharma,CSK,BALL,8,"[54, 4, 52, -2, 29]"
Jagadeesan,CSK,WK,7.5,"[41, 2, 4, 4, 4]"
Mitchell Santner,CSK,ALL,8.5,"[39, 27]"
