Player,Team,Role,Cost,Match_points
P.Shaw,DC,BAT,9,"[26, 87, 6, 90, 55, 27, 17, 2, 2, 10, 16, 23]"
Shikhar Dhawan,DC,BAT,8.5,"[2, 44, 42, 44, 47, 18, 89, 79, 145, 144, 11, 2, 2, 72]"
Hetmeyer,DC,BAT,8,"[16, 12, 29, 21, 25, 84, 16, 16, 23, 16]"
Shreyas Iyer,DC,BAT,9.5,"[57, 31, 23, 119, 24, 38, 59, 72, 30, 20, 56, 15, 32, 19]"
Rishabh Pant,DC,WK,9,"[47, 68, 45, 57, 64, 17, 39, 43, 45, 27, 27]"
Marcus Stoinis,DC,ALL,9.5,"[126, 10, 16, 24, 83, 101, 38, 23, 33, 13, 56, 10, 6, 24]"
Axar Patel,DC,ALL,9,"[41, 39, 17, 58, 62, 37, 49, 33, 29, 23, 11, 4]"
Ashwin,DC,BALL,8.5,"[58, -2, 37, 56, 29, 41, 2, 35, 14, 31, 22, 33]"
Rabada,DC,BALL,10,"[62, 87, 82, 23, 114, 87, 62, 29, 37, 54, 72, 1, 16, 54]"
Daniel Sams,DC,ALL,7.5,"[12, 0, 2]"
Nortje,DC,BALL,8,"[7, 56, 13, 87, 56, 29, 4, 54, 58, 54, 28, 25, 79]"
Mohit Sharma,DC,BALL,8,[23]
Amit Mishra,DC,BALL,8.5,"[14, 54, 29]"
Avesh Khan,DC,BALL,7.5,[0]
Ishant Sharma,DC,BALL,8.5,[4]
H Patel,DC,BALL,8.5,"[62, 0, 46, 2]"
Alex Carey,DC,WK,7.5,"[26, 20, 16]"
Rahane,DC,BAT,8.5,"[22, 14, 13, 10, 35, 93]"
Tushar Deshpande,DC,BALL,7.5,"[52, 27, -2, 11, 22]"
Sunil Narine,KKR,ALL,9,"[48, 2, 54, 1, 49, 54, 88, 11, 23, 0]"
Shubman Gill,KKR,BAT,9,"[10, 91, 66, 44, 24, 82, 43, 27, 61, 5, 23, 80, 34, 46]"
Nitish Rana,KKR,BAT,9,"[32, 36, 30, 82, 14, 14, 12, 10, 46, 2, 108, 2, 117, 2]"
Eoin Morgan,KKR,BAT,8,"[29, 53, 43, 67, 18, 32, 11, 49, 43, 39, 33, 53, 21, 97]"
Dinesh Karthik,KKR,WK,9,"[39, 8, 21, 10, 25, 82, 5, 17, 39, 10, 7, 2, 28, 34]"
Andre Russell,KKR,ALL,10,"[42, 37, 34, 70, 29, 10, 43, 19, 16, 36]"
Kamlesh Nagarkoti,KKR,BALL,9,"[4, 79, 26, 29, -2, 6, 14, 10, -2, 40]"
Nikhil Naik,KKR,BAT,7,[13]
Pat Cummins,KKR,BALL,8.5,"[56, 39, 46, 4, 24, 9, 3, 72, 29, 22, 83, 5, 54, 137]"
Kuldeep Yadav,KKR,BALL,9,"[3, 4, 29, 6, 17]"
Sandeep Warrier,KKR,BALL,7,[2]
Varun Chakravarthy,KKR,BALL,8.5,"[37, 62, 31, 30, 4, 11, 31, 29, 4, 147, 31, 56, 56]"
Shivam Mavi,KKR,BALL,8.5,"[72, 4, 64, 7, 25, 29, 23, 84]"
R Tripathi,KKR,BAT,9,"[49, 107, 3, 21, 12, 31, 5, 42, 13, 7, 51]"
Tom Banton,KKR,BAT,7.5,"[10, 17]"
Prasidh Krishna,KKR,BALL,8,"[79, 27, -2, 4, 2, 12]"
Lockie Ferguson,KKR,BALL,8,"[85, 53, 29, 58, -2]"
