Player,Team,Role,Cost,Match_points
P.Shaw,DC,BAT,9,"[26, 87, 6, 90, 55, 27, 17, 2, 2, 10, 16, 23]"
Shikhar Dhawan,DC,BAT,8.5,"[2, 44, 42, 44, 47, 18, 89, 79, 145, 144, 11, 2, 2, 72]"
Hetmeyer,DC,BAT,8,"[16, 12, 29, 21, 25, 84, 16, 16, 23, 16]"
Shreyas Iyer,DC,BAT,9.5,"[57, 31, 23, 119, 24, 38, 59, 72, 30, 20, 56, 15, 32, 19]"
Rishabh Pant,DC,WK,9,"[47, 68, 45, 57, 64, 17, 39, 43, 45, 27, 27]"
Marcus Stoinis,DC,ALL,9.5,"[126, 10, 16, 24, 83, 101, 38, 23, 33, 13, 56, 10, 6, 24]"
Axar Patel,DC,ALL,9,"[41, 39, 17, 58, 62, 37, 49, 33, 29, 23, 11, 4]"
Ashwin,DC,BALL,8.5,"[58, -2, 37, 56, 29, 41, 2, 35, 14, 31, 22, 33]"
Rabada,DC,BALL,10,"[62, 87, 82, 23, 114, 87, 62, 29, 37, 54, 72, 1, 16, 54]"
Daniel Sams,DC,ALL,7.5,"[12, 0, 2]"
Nortje,DC,BALL,8,"[7, 56, 13, 87, 56, 29, 4, 54, 58, 54, 28, 25, 79]"
Mohit Sharma,DC,BALL,8,[23]
Amit Mishra,DC,BALL,8.5,"[14, 54, 29]"
Avesh Khan,DC,BALL,7.5,[0]
Ishant Sharma,DC,BALL,8.5,[4]
H Patel,DC,BALL,8.5,"[62, 0, 46, 2]"
Alex Carey,DC,WK,7.5,"[26, 20, 16]"
Rahane,DC,BAT,8.5,"[22, 14, 13, 10, 35, 93]"
Tushar Deshpande,DC,BALL,7.5,"[52, 27, -2, 11, 22]"
KL Rahul,KXIP,WK,10,"[49, 180, 98, 22, 84, 13, 92, 100, 102, 30, 51, 52, 57, 46]"
Mayank Agarwal,KXIP,BAT,9.5,"[124, 42, 158, 32, 33, 14, 76, 59, 24, 25, 35]"
Chris Gayle,KXIP,BAT,9.5,"[76, 33, 40, 28, 83, 133, 14]"
Karun Nair,KXIP,BAT,8.5,"[5, 22, 4, 10]"
Pooran,KXIP,BAT,9,"[8, 36, 44, 55, 44, 116, 36, 20, 42, 77, 46, 14, 40, 6]"
Maxwell,KXIP,ALL,9,"[5, ,21, 17, 13, 16, 17, 24, 4, 4, 72, 16, 25, 11]"
Deepak Hooda,KXIP,BAT,8.5,"[12, 38, 18, 2, 4, 13, 85]"
Sarfaraz Khan,KXIP,BAT,9,"[18, 12, 12, 12, 20]"
Mandeep Singh,KXIP,BAT,8.5,"[35, 10, 8, 30, 90, 2, 19]"
K.Gowtham,KXIP,ALL,8,"[31, 49]"
Jordan,KXIP,BALL,9,"[19, -2, 2, 37, 40, 106, 54, 23, 29]"
H Brar,KXIP,BALL,7.5,[0]
Mohammed Shami,KXIP,BALL,9.5,"[93, 33, 81, 41, 2, 27, 35, 48, 54, 54, 29, 79, -2, 4]"
Sheldon Cottrell,KXIP,BALL,8.5,"[56, 56, 23, 39, 2, 0]"
Ravi Bishnoi,KXIP,BALL,8.5,"[31, 95, 4, 3, 4, 84, 29, 2, 31, 4, 47, 64, 4, 2]"
James Neesham,KXIP,ALL,8,"[4, 27, 13, 41, 6]"
Murugan Ashwin,KXIP,BALL,9,"[79, 29, 56, 18, 29, 41, 37, 25, 8]"
Prabhsimran Singh,KXIP,WK,7,"[17, 28]"
Arshdeep Singh,KXIP,BALL,8,"[70, 37, 27, 48, 2, 81, 2, -2,]"
Mujeeb Rahman,KXIP,BALL,8,"[3, 0]"
