Player,Team,Role,Cost,Match_points
P.Shaw,DC,BAT,9,"[26, 87, 6, 90, 55, 27, 17, 2, 2, 10, 16, 23]"
Shikhar Dhawan,DC,BAT,8.5,"[2, 44, 42, 44, 47, 18, 89, 79, 145, 144, 11, 2, 2, 72]"
Hetmeyer,DC,BAT,8,"[16, 12, 29, 21, 25, 84, 16, 16, 23, 16]"
Shreyas Iyer,DC,BAT,9.5,"[57, 31, 23, 119, 24, 38, 59, 72, 30, 20, 56, 15, 32, 19]"
Rishabh Pant,DC,WK,9,"[47, 68, 45, 57, 64, 17, 39, 43, 45, 27, 27]"
Marcus Stoinis,DC,ALL,9.5,"[126, 10, 16, 24, 83, 101, 38, 23, 33, 13, 56, 10, 6, 24]"
Axar Patel,DC,ALL,9,"[41, 39, 17, 58, 62, 37, 49, 33, 29, 23, 11, 4]"
Ashwin,DC,BALL,8.5,"[58, -2, 37, 56, 29, 41, 2, 35, 14, 31, 22, 33]"
Rabada,DC,BALL,10,"[62, 87, 82, 23, 114, 87, 62, 29, 37, 54, 72, 1, 16, 54]"
Daniel Sams,DC,ALL,7.5,"[12, 0, 2]"
Nortje,DC,BALL,8,"[7, 56, 13, 87, 56, 29, 4, 54, 58, 54, 28, 25, 79]"
Mohit Sharma,DC,BALL,8,[23]
Amit Mishra,DC,BALL,8.5,"[14, 54, 29]"
Avesh Khan,DC,BALL,7.5,[0]
Ishant Sharma,DC,BALL,8.5,[4]
H Patel,DC,BALL,8.5,"[62, 0, 46, 2]"
Alex Carey,DC,WK,7.5,"[26, 20, 16]"
Rahane,DC,BAT,8.5,"[22, 14, 13, 10, 35, 93]"
Tushar Deshpande,DC,BALL,7.5,"[52, 27, -2, 11, 22]"
Aaron Finch,RCB,BAT,9,"[38, 35, 73, 22, 18, 6, 57, 28, 30, 22, 22]"
Devdutt Padikkal,RCB,BAT,9.5,"[76, 5, 83, 99, 16, 49, 50, 31, 41, 40, 30, 108, 10, 67]"
Virat Kohli,RCB,BAT,10,"[34, 5, 1, 95, 51, 114, 38, 55, 52, 24, 65, 11, 19, 37]"
de Villiers,RCB,BAT,10,"[71, 46, 87, 17, 23, 10, 108, 12, 88, 20, 47, 22, 43, 44]"
Josh Philippe,RCB,WK,7.5,"[11, 2, 43, 40, 17]"
Shivan Dube,RCB,ALL,8.5,"[63, 64, 38, 4, 17, 30, 4, 31, 6, 41]"
Umesh Yadav,RCB,BALL,9,"[16, -2]"
W Sundar,RCB,BALL,8,"[4, 38, 35, 6, 26, 68, 56, 16, 4, 43, 10, 17, 52, 31]"
N Saini,RCB,BALL,8.5,"[62, 9, 0, 35, 11, 8, 31, 6, 12, 29, 4, 23]"
Steyn,RCB,BALL,9,"[27, -1, 0]"
Chahal,RCB,BALL,9,"[83, 30, 23, 89, 2, 29, 35, 23, 54, 60, 31, 52, 56, 4]"
Chris Morris,RCB,ALL,9.5,"[103, 66, 38, 120, 30, 29, 48, 13, 0]"
Adam Zampa,RCB,BALL,8,"[23, 2]"
Gurkeerat Singh,RCB,ALL,7.5,"[4, 4, 24, 43, 6, 28, 26]"
Isuru Udana,RCB,BALL,8,"[48, 58, 28, 29, 41, 16, -2, 4, 37, 3]"
Mohammed Siraj,RCB,BALL,8.5,"[60, 37, -2, 101, 6, 62, 6, 35]"
Moin Ali,RCB,ALL,9,"[45, 5]"
Shahbaz Ahmed,RCB,ALL,7.5,"[10, 55]"
