Player,Team,Role,Cost,Match_points
P.Shaw,DC,BAT,9,"[26, 87, 6, 90, 55, 27, 17, 2, 2, 10, 16, 23]"
Shikhar Dhawan,DC,BAT,8.5,"[2, 44, 42, 44, 47, 18, 89, 79, 145, 144, 11, 2, 2, 72]"
Hetmeyer,DC,BAT,8,"[16, 12, 29, 21, 25, 84, 16, 16, 23, 16]"
Shreyas Iyer,DC,BAT,9.5,"[57, 31, 23, 119, 24, 38, 59, 72, 30, 20, 56, 15, 32, 19]"
Rishabh Pant,DC,WK,9,"[47, 68, 45, 57, 64, 17, 39, 43, 45, 27, 27]"
Marcus Stoinis,DC,ALL,9.5,"[126, 10, 16, 24, 83, 101, 38, 23, 33, 13, 56, 10, 6, 24]"
Axar Patel,DC,ALL,9,"[41, 39, 17, 58, 62, 37, 49, 33, 29, 23, 11, 4]"
Ashwin,DC,BALL,8.5,"[58, -2, 37, 56, 29, 41, 2, 35, 14, 31, 22, 33]"
Rabada,DC,BALL,10,"[62, 87, 82, 23, 114, 87, 62, 29, 37, 54, 72, 1, 16, 54]"
Daniel Sams,DC,ALL,7.5,"[12, 0, 2]"
Nortje,DC,BALL,8,"[7, 56, 13, 87, 56, 29, 4, 54, 58, 54, 28, 25, 79]"
Mohit Sharma,DC,BALL,8,[23]
Amit Mishra,DC,BALL,8.5,"[14, 54, 29]"
Avesh Khan,DC,BALL,7.5,[0]
Ishant Sharma,DC,BALL,8.5,[4]
H Patel,DC,BALL,8.5,"[62, 0, 46, 2]"
Alex Carey,DC,WK,7.5,"[26, 20, 16]"
Rahane,DC,BAT,8.5,"[22, 14, 13, 10, 35, 93]"
Tushar Deshpande,DC,BALL,7.5,"[52, 27, -2, 11, 22]"
Yashasvi Jaiswal,RR,BAT,8,"[11, 2, 63]"
Steve Smith,RR,BAT,9.5,"[93, 73, 7, 10, 11, 40, 9, 5, 77, 32, 25, 18, 40, 17]"
Sanju Samson,RR,WK,9,"[145, 123, 21, 9, 10, 9, 41, 33, 15, 16, 45, 76, 62, 21]"
David Miller,RR,BAT,9,[2]
Robin Uthappa,RR,BAT,8.5,"[9, 9, 6, 22, 25, 49, 62, 8, 27, 19, 39, 20]"
Rahul Tewatia,RR,ALL,8.5,"[88, 79, 45, 34, 18, 98, 65, 27, 59, 41, 6, 4, 20, 114]"
Riyag Parag,RR,ALL,8,"[11, 2, 13, 21, 52, 5, 4, 4, 28, 4, 4, 2]"
Tom Curran,RR,BALL,7.5,"[42, 30, 97, -2, 16]"
Kartik Tyagi,RR,BALL,8,"[27, 31, 27, 45, 29, 29, -2, 23, -2, 54]"
Jofra Archer,RR,BALL,9.5,"[64, 15, 74, 52, 58, 91, 35, 100, 2, 37, 75, 62, 54, 39]"
Shreyas Gopal,RR,BALL,9,"[27, 8, 5, 29, 63, 0, 4, 36, 29, 35, 4, 54, 4, 48]"
Jaydev Unadkat,RR,BALL,9,"[0, 2, 46, 0, 29, 50, -2]"
Jos Buttler,RR,WK,9.5,"[8, 38, 31, 104, 27, 29, 31, 31, 109, 13, 4, 31, 53]"
Ankit Rajpoot,RR,BALL,8.5,"[27, 36, 0, 4, 4, -2]"
Ben Stokes,RR,ALL,9.5,"[10, 45, 29, 24, 38, 163, 132, 28]"
Mahipal Lomror,RR,ALL,7,"[58, 16, 5]"
