Player,Team,Role,Cost,Match_points
Rohit Sharma,MI,BAT,9.5,"[18, 107, 22, 96, 20, 63, 3, 46, 23, 8]"
De Kock,MI,WK,9,"[42, 33, 19, 10, 99, 56, 75, 121, 80, 95, 12, 36, 60, 35]"
S.Yadav,MI,BAT,9,"[23, 59, 2, 32, 37, 106, 79, 23, 2, 20, 50, 115, 25, 45]"
Ishan Kishan,MI,WK,9.5,"[131, 35, 48, 2, 38, 4, 12, 96, 47, 34, 98, 42]"
S.Tiwary,MI,BAT,8,"[51, 28, 4, 44, 17, 4, 5]"
Hardik Pandya,MI,ALL,9,"[22, 50, 21, 41, 46, 46, 2, 30, 14, 4, 88, 25]"
Kieron Pollard,MI,ALL,8.5,"[25, 51, 101, 62, 43, 36, 16, 12, 47, 4, 18, 34, 4, 55]"
Krunal Pandya,MI,ALL,9,"[30, 5, 4, 29, 55, 14, 76, 6, 46, 14, 5, 15, 24, -4]"
Pattinson,MI,BALL,8,"[50, 54, -2, 54, 54, 56, -2, 48, 6, 6]"
Rahul Chahar,MI,BALL,9,"[37, 54, 29, 54, 12, 29, 10, 58, 54, 56, -2, 33, 31, 2]"
Boult,MI,BALL,9.5,"[29, 62, 54, 33, 54, 54, 35, 29, 6, 124, 2, 35, 81]"
Bumrah,MI,BALL,10,"[30, 54, 0, 58, 50, 114, 4, 31, 81, 54, 2, 93, 95]"
Coulter-Nile,MI,BALL,8.5,"[23, 40, 29, 29, 5]"
Sunil Narine,KKR,ALL,9,"[48, 2, 54, 1, 49, 54, 88, 11, 23, 0]"
Shubman Gill,KKR,BAT,9,"[10, 91, 66, 44, 24, 82, 43, 27, 61, 5, 23, 80, 34, 46]"
Nitish Rana,KKR,BAT,9,"[32, 36, 30, 82, 14, 14, 12, 10, 46, 2, 108, 2, 117, 2]"
Eoin Morgan,KKR,BAT,8,"[29, 53, 43, 67, 18, 32, 11, 49, 43, 39, 33, 53, 21, 97]"
Dinesh Karthik,KKR,WK,9,"[39, 8, 21, 10, 25, 82, 5, 17, 39, 10, 7, 2, 28, 34]"
Andre Russell,KKR,ALL,10,"[42, 37, 34, 70, 29, 10, 43, 19, 16, 36]"
Kamlesh Nagarkoti,KKR,BALL,9,"[4, 79, 26, 29, -2, 6, 14, 10, -2, 40]"
Nikhil Naik,KKR,BAT,7,[13]
Pat Cummins,KKR,BALL,8.5,"[56, 39, 46, 4, 24, 9, 3, 72, 29, 22, 83, 5, 54, 137]"
Kuldeep Yadav,KKR,BALL,9,"[3, 4, 29, 6, 17]"
Sandeep Warrier,KKR,BALL,7,[2]
Varun Chakravarthy,KKR,BALL,8.5,"[37, 62, 31, 30, 4, 11, 31, 29, 4, 147, 31, 56, 56]"
Shivam Mavi,KKR,BALL,8.5,"[72, 4, 64, 7, 25, 29, 23, 84]"
R Tripathi,KKR,BAT,9,"[49, 107, 3, 21, 12, 31, 5, 42, 13, 7, 51]"
Tom Banton,KKR,BAT,7.5,"[10, 17]"
Prasidh Krishna,KKR,BALL,8,"[79, 27, -2, 4, 2, 12]"
Lockie Ferguson,KKR,BALL,8,"[85, 53, 29, 58, -2]"
