Player,Team,Role,Cost,Match_points
Rohit Sharma,MI,BAT,9.5,"[18, 107, 22, 96, 20, 63, 3, 46, 23, 8]"
De Kock,MI,WK,9,"[42, 33, 19, 10, 99, 56, 75, 121, 80, 95, 12, 36, 60, 35]"
S.Yadav,MI,BAT,9,"[23, 59, 2, 32, 37, 106, 79, 23, 2, 20, 50, 115, 25, 45]"
Ishan Kishan,MI,WK,9.5,"[131, 35, 48, 2, 38, 4, 12, 96, 47, 34, 98, 42]"
S.Tiwary,MI,BAT,8,"[51, 28, 4, 44, 17, 4, 5]"
Hardik Pandya,MI,ALL,9,"[22, 50, 21, 41, 46, 46, 2, 30, 14, 4, 88, 25]"
Kieron Pollard,MI,ALL,8.5,"[25, 51, 101, 62, 43, 36, 16, 12, 47, 4, 18, 34, 4, 55]"
Krunal Pandya,MI,ALL,9,"[30, 5, 4, 29, 55, 14, 76, 6, 46, 14, 5, 15, 24, -4]"
Pattinson,MI,BALL,8,"[50, 54, -2, 54, 54, 56, -2, 48, 6, 6]"
Rahul Chahar,MI,BALL,9,"[37, 54, 29, 54, 12, 29, 10, 58, 54, 56, -2, 33, 31, 2]"
Boult,MI,BALL,9.5,"[29, 62, 54, 33, 54, 54, 35, 29, 6, 124, 2, 35, 81]"
Bumrah,MI,BALL,10,"[30, 54, 0, 58, 50, 114, 4, 31, 81, 54, 2, 93, 95]"
Coulter-Nile,MI,BALL,8.5,"[23, 40, 29, 29, 5]"
KL Rahul,KXIP,WK,10,"[49, 180, 98, 22, 84, 13, 92, 100, 102, 30, 51, 52, 57, 46]"
Mayank Agarwal,KXIP,BAT,9.5,"[124, 42, 158, 32, 33, 14, 76, 59, 24, 25, 35]"
Chris Gayle,KXIP,BAT,9.5,"[76, 33, 40, 28, 83, 133, 14]"
Karun Nair,KXIP,BAT,8.5,"[5, 22, 4, 10]"
Pooran,KXIP,BAT,9,"[8, 36, 44, 55, 44, 116, 36, 20, 42, 77, 46, 14, 40, 6]"
Maxwell,KXIP,ALL,9,"[5, 21, 17, 13, 16, 17, 24, 4, 4, 72, 16, 25, 11]"
Deepak Hooda,KXIP,BAT,8.5,"[12, 38, 18, 2, 4, 13, 85]"
Sarfaraz Khan,KXIP,BAT,9,"[18, 12, 12, 12, 20]"
Mandeep Singh,KXIP,BAT,8.5,"[35, 10, 8, 30, 90, 2, 19]"
K.Gowtham,KXIP,ALL,8,"[31, 49]"
Jordan,KXIP,BALL,9,"[19, -2, 2, 37, 40, 106, 54, 23, 29]"
H Brar,KXIP,BALL,7.5,[0]
Mohammed Shami,KXIP,BALL,9.5,"[93, 33, 81, 41, 2, 27, 35, 48, 54, 54, 29, 79, -2, 4]"
Sheldon Cottrell,KXIP,BALL,8.5,"[56, 56, 23, 39, 2, 0]"
Ravi Bishnoi,KXIP,BALL,8.5,"[31, 95, 4, 3, 4, 84, 29, 2, 31, 4, 47, 64, 4, 2]"
James Neesham,KXIP,ALL,8,"[4, 27, 13, 41, 6]"
Murugan Ashwin,KXIP,BALL,9,"[79, 29, 56, 18, 29, 41, 37, 25, 8]"
Prabhsimran Singh,KXIP,WK,7,"[17, 28]"
Arshdeep Singh,KXIP,BALL,8,"[70, 37, 27, 48, 2, 81, 2, -2,]"
Mujeeb Rahman,KXIP,BALL,8,"[3, 0]"
