Player,Team,Role,Cost,Match_points
Rohit Sharma,MI,BAT,9.5,"[18, 107, 22, 96, 20, 63, 3, 46, 23, 8]"
De Kock,MI,WK,9,"[42, 33, 19, 10, 99, 56, 75, 121, 80, 95, 12, 36, 60, 35]"
S.Yadav,MI,BAT,9,"[23, 59, 2, 32, 37, 106, 79, 23, 2, 20, 50, 115, 25, 45]"
Ishan Kishan,MI,WK,9.5,"[131, 35, 48, 2, 38, 4, 12, 96, 47, 34, 98, 42]"
S.Tiwary,MI,BAT,8,"[51, 28, 4, 44, 17, 4, 5]"
Hardik Pandya,MI,ALL,9,"[22, 50, 21, 41, 46, 46, 2, 30, 14, 4, 88, 25]"
Kieron Pollard,MI,ALL,8.5,"[25, 51, 101, 62, 43, 36, 16, 12, 47, 4, 18, 34, 4, 55]"
Krunal Pandya,MI,ALL,9,"[30, 5, 4, 29, 55, 14, 76, 6, 46, 14, 5, 15, 24, -4]"
Pattinson,MI,BALL,8,"[50, 54, -2, 54, 54, 56, -2, 48, 6, 6]"
Rahul Chahar,MI,BALL,9,"[37, 54, 29, 54, 12, 29, 10, 58, 54, 56, -2, 33, 31, 2]"
Boult,MI,BALL,9.5,"[29, 62, 54, 33, 54, 54, 35, 29, 6, 124, 2, 35, 81]"
Bumrah,MI,BALL,10,"[30, 54, 0, 58, 50, 114, 4, 31, 81, 54, 2, 93, 95]"
Coulter-Nile,MI,BALL,8.5,"[23, 40, 29, 29, 5]"
Aaron Finch,RCB,BAT,9,"[38, 35, 73, 22, 18, 6, 57, 28, 30, 22, 22]"
Devdutt Padikkal,RCB,BAT,9.5,"[76, 5, 83, 99, 16, 49, 50, 31, 41, 40, 30, 108, 10, 67]"
Virat Kohli,RCB,BAT,10,"[34, 5, 1, 95, 51, 114, 38, 55, 52, 24, 65, 11, 19, 37]"
de Villiers,RCB,BAT,10,"[71, 46, 87, 17, 23, 10, 108, 12, 88, 20, 47, 22, 43, 44]"
Josh Philippe,RCB,WK,7.5,"[11, 2, 43, 40, 17]"
Shivan Dube,RCB,ALL,8.5,"[63, 64, 38, 4, 17, 30, 4, 31, 6, 41]"
Umesh Yadav,RCB,BALL,9,"[16, -2]"
W Sundar,RCB,BALL,8,"[4, 38, 35, 6, 26, 68, 56, 16, 4, 43, 10, 17, 52, 31]"
N Saini,RCB,BALL,8.5,"[62, 9, 0, 35, 11, 8, 31, 6, 12, 29, 4, 23]"
Steyn,RCB,BALL,9,"[27, -1, 0]"
Chahal,RCB,BALL,9,"[83, 30, 23, 89, 2, 29, 35, 23, 54, 60, 31, 52, 56, 4]"
Chris Morris,RCB,ALL,9.5,"[103, 66, 38, 120, 30, 29, 48, 13, 0]"
Adam Zampa,RCB,BALL,8,"[23, 2]"
Gurkeerat Singh,RCB,ALL,7.5,"[4, 4, 24, 43, 6, 28, 26]"
Isuru Udana,RCB,BALL,8,"[48, 58, 28, 29, 41, 16, -2, 4, 37, 3]"
Mohammed Siraj,RCB,BALL,8.5,"[60, 37, -2, 101, 6, 62, 6, 35]"
Moin Ali,RCB,ALL,9,"[45, 5]"
Shahbaz Ahmed,RCB,ALL,7.5,"[10, 55]"
