Player,Team,Role,Cost,Match_points
Rohit Sharma,MI,BAT,9.5,"[18, 107, 22, 96, 20, 63, 3, 46, 23, 8]"
De Kock,MI,WK,9,"[42, 33, 19, 10, 99, 56, 75, 121, 80, 95, 12, 36, 60, 35]"
S.Yadav,MI,BAT,9,"[23, 59, 2, 32, 37, 106, 79, 23, 2, 20, 50, 115, 25, 45]"
Ishan Kishan,MI,WK,9.5,"[131, 35, 48, 2, 38, 4, 12, 96, 47, 34, 98, 42]"
S.Tiwary,MI,BAT,8,"[51, 28, 4, 44, 17, 4, 5]"
Hardik Pandya,MI,ALL,9,"[22, 50, 21, 41, 46, 46, 2, 30, 14, 4, 88, 25]"
Kieron Pollard,MI,ALL,8.5,"[25, 51, 101, 62, 43, 36, 16, 12, 47, 4, 18, 34, 4, 55]"
Krunal Pandya,MI,ALL,9,"[30, 5, 4, 29, 55, 14, 76, 6, 46, 14, 5, 15, 24, -4]"
Pattinson,MI,BALL,8,"[50, 54, -2, 54, 54, 56, -2, 48, 6, 6]"
Rahul Chahar,MI,BALL,9,"[37, 54, 29, 54, 12, 29, 10, 58, 54, 56, -2, 33, 31, 2]"
Boult,MI,BALL,9.5,"[29, 62, 54, 33, 54, 54, 35, 29, 6, 124, 2, 35, 81]"
Bumrah,MI,BALL,10,"[30, 54, 0, 58, 50, 114, 4, 31, 81, 54, 2, 93, 95]"
Coulter-Nile,MI,BALL,8.5,"[23, 40, 29, 29, 5]"
Yashasvi Jaiswal,RR,BAT,8,"[11, 2, 63]"
Steve Smith,RR,BAT,9.5,"[93, 73, 7, 10, 11, 40, 9, 5, 77, 32, 25, 18, 40, 17]"
Sanju Samson,RR,WK,9,"[145, 123, 21, 9, 10, 9, 41, 33, 15, 16, 45, 76, 62, 21]"
David Miller,RR,BAT,9,[2]
Robin Uthappa,RR,BAT,8.5,"[9, 9, 6, 22, 25, 49, 62, 8, 27, 19, 39, 20]"
Rahul Tewatia,RR,ALL,8.5,"[88, 79, 45, 34, 18, 98, 65, 27, 59, 41, 6, 4, 20, 114]"
Riyag Parag,RR,ALL,8,"[11, 2, 13, 21, 52, 5, 4, 4, 28, 4, 4, 2]"
Tom Curran,RR,BALL,7.5,"[42, 30, 97, -2, 16]"
Kartik Tyagi,RR,BALL,8,"[27, 31, 27, 45, 29, 29, -2, 23, -2, 54]"
Jofra Archer,RR,BALL,9.5,"[64, 15, 74, 52, 58, 91, 35, 100, 2, 37, 75, 62, 54, 39]"
Shreyas Gopal,RR,BALL,9,"[27, 8, 5, 29, 63, 0, 4, 36, 29, 35, 4, 54, 4, 48]"
Jaydev Unadkat,RR,BALL,9,"[0, 2, 46, 0, 29, 50, -2]"
Jos Buttler,RR,WK,9.5,"[8, 38, 31, 104, 27, 29, 31, 31, 109, 13, 4, 31, 53]"
Ankit Rajpoot,RR,BALL,8.5,"[27, 36, 0, 4, 4, -2]"
Ben Stokes,RR,ALL,9.5,"[10, 45, 29, 24, 38, 163, 132, 28]"
Mahipal Lomror,RR,ALL,7,"[58, 16, 5]"
