Player,Team,Role,Cost,Match_points
Rohit Sharma,MI,BAT,9.5,"[18, 107, 22, 96, 20, 63, 3, 46, 23, 8]"
De Kock,MI,WK,9,"[42, 33, 19, 10, 99, 56, 75, 121, 80, 95, 12, 36, 60, 35]"
S.Yadav,MI,BAT,9,"[23, 59, 2, 32, 37, 106, 79, 23, 2, 20, 50, 115, 25, 45]"
Ishan Kishan,MI,WK,9.5,"[131, 35, 48, 2, 38, 4, 12, 96, 47, 34, 98, 42]"
S.Tiwary,MI,BAT,8,"[51, 28, 4, 44, 17, 4, 5]"
Hardik Pandya,MI,ALL,9,"[22, 50, 21, 41, 46, 46, 2, 30, 14, 4, 88, 25]"
Kieron Pollard,MI,ALL,8.5,"[25, 51, 101, 62, 43, 36, 16, 12, 47, 4, 18, 34, 4, 55]"
Krunal Pandya,MI,ALL,9,"[30, 5, 4, 29, 55, 14, 76, 6, 46, 14, 5, 15, 24, -4]"
Pattinson,MI,BALL,8,"[50, 54, -2, 54, 54, 56, -2, 48, 6, 6]"
Rahul Chahar,MI,BALL,9,"[37, 54, 29, 54, 12, 29, 10, 58, 54, 56, -2, 33, 31, 2]"
Boult,MI,BALL,9.5,"[29, 62, 54, 33, 54, 54, 35, 29, 6, 124, 2, 35, 81]"
Bumrah,MI,BALL,10,"[30, 54, 0, 58, 50, 114, 4, 31, 81, 54, 2, 93, 95]"
Coulter-Nile,MI,BALL,8.5,"[23, 40, 29, 29, 5]"
Warner,SRH,BAT,10,"[11, 52, 56, 43, 81, 85, 59, 19, 56, 17, 62, 106, 22, 117]"
Bairstow,SRH,WK,9.5,"[101, 5, 85, 8, 43, 136, 38, 37, 47, 17, 39]"
Manish Pandey,SRH,BAT,9,"[49, 70, 15, 38, 48, 5, 74, 17, 18, 123, 15, 54, 43, 4]"
Kane Williamson,SRH,BAT,9.5,"[50, 12, 1, 35, 30, 84, 39, 24, 24, 12]"
Vijay Shankar,SRH,ALL,8.5,"[27, 10, 18, 44, 97, 46, 29]"
W Saha,SRH,WK,8,"[45, 115, 49, 99]"
Mitchell Marsh,SRH,ALL,8.5,[2]
Abdul Samad,SRH,ALL,7.5,"[27, 41, 23, 13, 31, 4, 12, 12, 4, 4]"
Priyam Garg,SRH,BAT,8,"[17, 4, 12, 77, 12, 22, 22, 21, 24, 4, 7, 12]"
Abhishek Sharma,SRH,BAT,8,"[37, 6, 5, 41, 14, 44, 4, 22]"
Rashid Khan,SRH,BALL,9.5,"[19, 29, 85, 10, 42, 93, 54, 21, 30, 31, 68, 85, 31, 29]"
Jason Holder,SRH,ALL,8,"[91, 59, 23, 87, 54]"
Bhuvaneshwar Kumar,SRH,BALL,9,"[9, 4, 2, 54, 29]"
Sandeep Sharma,SRH,BALL,8.5,"[12, 50, 4, 4, 59, 4, 4, 54, 54, 56, 79]"
Khaleel Ahmed,SRH,BALL,8.5,"[27, 25, 4, 60, 52, 48, 12]"
Natarajan,SRH,BALL,8.5,"[32, 27, 29, 50, 12, 62, 18, 50, 52, -2, 6, 54, 43, 2]"
Siddharth Kaul,SRH,BALL,8,[48]
Shahbaz Nadeem,SRH,BALL,7.5,"[10, 12, 29, 29, 58]"
Basil Thampi,SRH,BALL,8,[23]
